Estado,Gobernador,Titulo,Wikidata,QQW,API_Gobernantes
Aguascalientes,Martín Orozco Sandoval,Aguascalientes - Martín Orozco Sandoval,https://www.wikidata.org/wiki/Q6002810,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3256
Baja California,Marina del Pilar Ávila Olmeda,Baja California - Marina del Pilar Ávila Olmeda,https://www.wikidata.org/wiki/Q62717140,https://www.quienesquien.wiki/es/personas/marina-del-pilar-avila-olmeda#summary-supplier_contract,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/1
Baja California Sur,Víctor Manuel Castro Cosío,Baja California Sur - Víctor Manuel Castro Cosío,https://www.wikidata.org/wiki/Q6165612,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3281
Campeche,Layda Elena Sansores San Román,Campeche - Layda Elena Sansores San Román,https://www.wikidata.org/wiki/Q2566657,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/18
Chiapas,Rutilio Cruz Escandón Cadenas,Chiapas - Rutilio Cruz Escandón Cadenas,https://www.wikidata.org/wiki/Q6114542,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3258
Chihuahua,María Eugenia Campos Galván,Chihuahua - María Eugenia Campos Galván,https://www.wikidata.org/wiki/Q16298068,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/25
Ciudad de México,Claudia Sheinbaum Pardo,Ciudad de México - Claudia Sheinbaum Pardo,https://www.wikidata.org/wiki/Q5771800,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3259
Coahuila,Miguel Ángel Riquelme Solís,Coahuila - Miguel Ángel Riquelme Solís,https://www.wikidata.org/wiki/Q26996099,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3257
Colima,Indira Vizcaíno Silva,Colima - Indira Vizcaíno Silva,https://www.wikidata.org/wiki/Q5915371,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/36
Durango,José Rosas Aispuro Torres,Durango - José Rosas Aispuro Torres,https://www.wikidata.org/wiki/Q5945231,https://www.quienesquien.wiki/es/contratos/SO-810005987-N49-2015-800828#datosgenerales,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3260
Estado de México,Alfredo del Mazo Maza,Estado de México - Alfredo del Mazo Maza,https://www.wikidata.org/wiki/Q5668133,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3264
Guanajuato,Diego Sinhue Rodríguez Vallejo,Guanajuato - Diego Sinhue Rodríguez Vallejo,https://www.wikidata.org/wiki/Q16221142,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3261
Guerrero,Evelyn Cecia Salgado Pineda,Guerrero - Evelyn Cecia Salgado Pineda,https://www.wikidata.org/wiki/Q106784672,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3212
Hidalgo,Omar Fayad Meneses,Hidalgo - Omar Fayad Meneses,https://www.wikidata.org/wiki/Q7089690,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3262
Jalisco,Enrique Alfaro Ramírez,Jalisco - Enrique Alfaro Ramírez,https://www.wikidata.org/wiki/Q24565115,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3263
Michoacán,Alfredo Ramírez Bedolla,Michoacán - Alfredo Ramírez Bedolla,https://www.wikidata.org/wiki/Q106645142,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3213
Morelos,Cuauhtémoc Blanco Bravo,Morelos - Cuauhtémoc Blanco Bravo,https://www.wikidata.org/wiki/Q207644,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3265
Nayarit,Miguel Ángel Navarro Quintero,Nayarit - Miguel Ángel Navarro Quintero,https://www.wikidata.org/wiki/Q6015772,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/52
Nuevo León,Samuel Alejandro García Sepúlveda,Nuevo León - Samuel Alejandro García Sepúlveda,https://wikidata.org/wiki/Q52768019,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/62
Oaxaca,Alejandro Ismael Murat Hinojosa,Oaxaca - Alejandro Ismael Murat Hinojosa,https://www.wikidata.org/wiki/Q18217780,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3266
Puebla,Luis Miguel Gerónimo Barbosa Huerta,Puebla - Luis Miguel Gerónimo Barbosa Huerta,https://www.wikidata.org/wiki/Q65499374,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3267
Querétaro,Mauricio Kuri González,Querétaro - Mauricio Kuri González,https://www.wikidata.org/wiki/Q48120279,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/66
Quintana Roo,Carlos Manuel Joaquín González,Quintana Roo - Carlos Manuel Joaquín González,https://www.wikidata.org/wiki/Q18688040,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3268
San Luis Potosí,José Ricardo Gallardo Cardona,San Luis Potosí - José Ricardo Gallardo Cardona,https://www.wikidata.org/wiki/Q47493868,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/77
Sinaloa,Rubén Rocha Moya,Sinaloa - Rubén Rocha Moya,https://www.wikidata.org/wiki/Q6113350,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3339
Sonora,Francisco Alfonso Durazo Montaño,Sonora - 	Francisco Alfonso Durazo Montaño,https://www.wikidata.org/wiki/Q4722024,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3234
Tabasco,Carlos Manuel Merino Campos,Tabasco - Carlos Manuel Merino Campos,https://www.wikidata.org/wiki/Q108292871,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3269
Tamaulipas,Francisco Javier García Cabeza de Vaca,Tamaulipas - Francisco Javier García Cabeza de Vaca,https://www.wikidata.org/wiki/Q16300539,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3271
Tlaxcala,Lorena Cuéllar Cisneros,Tlaxcala - Lorena Cuéllar Cisneros,https://www.wikidata.org/wiki/Q5978942,https://www.quienesquien.wiki/es/personas/lorena-cuellar-cisneros#memberships-child-0,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/100
Veracruz,Cuitláhuac García Jiménez,Veracruz - Cuitláhuac García Jiménez,https://www.wikidata.org/wiki/Q27639227,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3272
Yucatán,Mauricio Vila Dosal,Yucatán - Mauricio Vila Dosal,https://www.wikidata.org/wiki/Q19548254,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/3273
Zacatecas,David Monreal Ávila,Zacatecas - David Monreal Ávila,wikidata.org/wiki/Q5800190,,https://e7f1hlosbh.execute-api.us-east-2.amazonaws.com/staging/person/107
